review_text,rating,review_date,product
"배송도 빠르고 음질도 정말 좋습니다.",5,2026-07-01,무선이어폰
"음질은 괜찮은데 착용감은 평범합니다.",3,2026-07-02,무선이어폰
"한 달 만에 한쪽 이어폰이 고장났습니다.",1,2026-07-03,무선이어폰
"가격 대비 성능이 정말 만족스럽습니다.",5,2026-07-04,무선이어폰
"연결이 자꾸 끊겨서 사용하기 불편합니다.",2,2026-07-05,무선이어폰
"디자인은 예쁘지만 음질은 그냥 보통입니다.",3,2026-07-06,무선이어폰
"노이즈 캔슬링 성능이 기대 이상입니다.",5,2026-07-07,무선이어폰
"배터리가 생각보다 너무 빨리 닳아요.",2,2026-07-08,무선이어폰
"착용감도 편하고 장시간 사용해도 괜찮습니다.",4,2026-07-09,무선이어폰
"배송도 빠르고 음질도 정말 좋습니다.",5,2026-07-01,무선이어폰
"화면이 선명하고 디자인도 마음에 듭니다.",5,2026-07-10,스마트워치
"운동 기록 기능은 쓸 만하지만 특별하진 않습니다.",3,2026-07-11,스마트워치
"배터리가 하루도 가지 않아서 실망했습니다.",1,2026-07-12,스마트워치
"가볍고 착용감이 좋아서 매일 사용하고 있습니다.",5,2026-07-13,스마트워치
"심박수 측정값이 가끔 이상하게 나옵니다.",2,2026-07-14,스마트워치
"기능은 많은데 메뉴가 조금 복잡합니다.",3,2026-07-15,스마트워치
"가격을 생각하면 상당히 만족스러운 제품입니다.",4,2026-07-16,스마트워치
"충전 속도가 느려서 불편합니다.",2,2026-07-17,스마트워치
"좋아요",5,2026-07-18,스마트워치
"   배송이 빠르고 제품 포장도 아주 깔끔했습니다.   ",5,2026-07-19,스마트워치
"충전 속도가 빠르고 용량도 충분해서 만족합니다.",5,2026-07-20,보조배터리
"크기가 조금 크지만 사용하는 데 문제는 없습니다.",3,2026-07-21,보조배터리
"며칠 사용하지 않았는데 충전이 되지 않습니다.",1,2026-07-22,보조배터리
"휴대하기 편하고 여행할 때 유용합니다.",4,2026-07-23,보조배터리
"표시된 용량보다 실제 사용 시간이 짧은 것 같습니다.",2,2026-07-24,보조배터리
"무게는 보통이고 디자인도 무난합니다.",3,2026-07-25,보조배터리
"두 대를 동시에 충전할 수 있어서 정말 편합니다.",5,2026-07-26,보조배터리
"제품 마감이 좋지 않고 버튼도 잘 눌리지 않습니다.",1,2026-07-27,보조배터리
"충전 속도가 빠르고 용량도 충분해서 만족합니다.",5,2026-07-20,보조배터리
"성능 자체는 괜찮은 편입니다.",6,2026-07-29,보조배터리
"소리가 생각보다 풍부하고 저음도 좋습니다.",5,2026-08-01,블루투스스피커
"볼륨을 크게 하면 소리가 조금 찢어집니다.",2,2026-08-02,블루투스스피커
"디자인은 평범하지만 사용하는 데 불편함은 없습니다.",3,2026-08-03,블루투스스피커
"블루투스 연결이 빠르고 안정적입니다.",5,2026-08-04,블루투스스피커
"배터리 사용 시간이 설명보다 많이 짧습니다.",2,2026-08-05,블루투스스피커
"가격도 적당하고 전체적으로 무난합니다.",3,2026-08-06,블루투스스피커
"야외에서 사용하기에도 음량이 충분합니다.",4,2026-08-07,블루투스스피커
"전원이 가끔 혼자 꺼져서 교환하고 싶습니다.",1,2026-08-08,블루투스스피커
"포장이 꼼꼼하고 배송도 예상보다 빨랐습니다.",5,2026/08/09,블루투스스피커
"그냥 그래요",3,2026/08/10,블루투스스피커
